feature,coefficient,odds_ratio,abs_coefficient
Intercept,-0.46322800582360063,0.6292491436813854,0.46322800582360063
cat__Trauma center_10,-0.844881513769879,0.4296082578581284,0.844881513769879
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_No,-0.7108136084629132,0.49124435426113094,0.7108136084629132
"cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Neurosurgery ( e.g., craniotomy, excluding ICP monitoInterventional radiologyng and excluding EVD)",0.5999797850242949,1.822081966675525,0.5999797850242949
cat__Trauma center_7,0.5493776274819822,1.7321746244383294,0.5493776274819822
num__SAPS II,0.4602338841770167,1.5844445181640294,0.4602338841770167
binary__hemorragic shock,0.4547015165268705,1.5757029915339056,0.4547015165268705
num__AIS head neck,0.42956610982433047,1.5365906672929905,0.42956610982433047
cat__Trauma center_9,0.4178797344555734,1.5187380115646352,0.4178797344555734
cat__Trauma center_16,0.41207347305990155,1.5099453725600889,0.41207347305990155
cat__Trauma center_13,-0.3979938223213116,0.6716661769870205,0.3979938223213116
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Spine surgery,0.3581508591645473,1.4306814356067528,0.3581508591645473
cat__Trauma center_30,-0.3298500067552591,0.7190315752229928,0.3298500067552591
cat__Trauma center_8,0.3088355282294027,1.3618383681152209,0.3088355282294027
cat__Trauma center_2,0.30820257512187804,1.3609766610270346,0.30820257512187804
cat__Trauma center_6,-0.29842900930493194,0.7419829538660953,0.29842900930493194
cat__Trauma center_26,-0.2816054333926057,0.7545713544632874,0.2816054333926057
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Orthopedics (upper and/or lower limb),-0.2681290073551109,0.7648091087379875,0.2681290073551109
num__CGS score,-0.26610975095083134,0.7663550146938363,0.26610975095083134
num__ISS score,0.2639887370165533,1.302113530535164,0.2639887370165533
num__AIS chest,0.26033348350840635,1.2973626635858564,0.26033348350840635
cat__Trauma center_21,-0.21915812611438865,0.8031947020542767,0.21915812611438865
cat__Trauma center_27,-0.20702567254484716,0.8129987779720651,0.20702567254484716
cat__Trauma center_31,0.20316050305444772,1.225269111901104,0.20316050305444772
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Other operating room procedure,0.1829622117518402,1.2007690322653262,0.1829622117518402
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Cardiac surgery,0.18071738934288123,1.1980765422453516,0.18071738934288123
cat__Trauma center_14,0.16280094556267857,1.1768024186296149,0.16280094556267857
cat__Trauma center_15,0.14483122236456866,1.1558444731073685,0.14483122236456866
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Vascular surgery,-0.13169585003574252,0.87660757469974,0.13169585003574252
cat__Trauma center_11,0.12815012367666942,1.1367236390205104,0.12815012367666942
cat__Trauma center_5,-0.123794792534467,0.8835611356218821,0.123794792534467
cat__Trauma center_29,-0.12225424730223908,0.8849233505241731,0.12225424730223908
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Interventional radiology,-0.10944000978455964,0.8963359341350584,0.10944000978455964
cat__Trauma center_4,0.10270789982869903,1.108167665830561,0.10270789982869903
cat__Trauma center_22,-0.09912255636999621,0.9056317102869813,0.09912255636999621
cat__Trauma center_12,0.09471237800760202,1.099342614536288,0.09471237800760202
cat__Trauma center_20,0.08560396896026537,1.0893748166234705,0.08560396896026537
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Visceral surgery,-0.08471909112533946,0.9187703388968325,0.08471909112533946
cat__Trauma center_3,0.07471658757496381,1.077578708408662,0.07471658757496381
cat__Trauma center_1,0.057254790539390144,1.0589255802464028,0.057254790539390144
cat__Trauma center_18,-0.04659830845187189,0.954470723418377,0.04659830845187189
cat__Trauma center_17,-0.0460056033882512,0.9550366107347974,0.0460056033882512
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Maxillofacial surgery,-0.03989183227876537,0.9608933711774864,0.03989183227876537
cat__Trauma center_32,-0.033590278398625474,0.9669676110033557,0.033590278398625474
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Thoracic surgery,0.02417659114653461,1.0244712144641388,0.02417659114653461
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Urology,-0.0012994501183251008,0.9987013938013964,0.0012994501183251008
