feature,coefficient,odds_ratio,abs_coefficient
Intercept,-0.335107361240305,0.7152612908908735,0.335107361240305
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_No,-0.747077494895895,0.47374906561887226,0.747077494895895
cat__Trauma center_13,-0.6602836490646538,0.51670475088424,0.6602836490646538
cat__Trauma center_10,-0.5173912669476549,0.5960735181355558,0.5173912669476549
cat__Trauma center_12,0.5055748678226946,1.6579383419662064,0.5055748678226946
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Spine surgery,0.4950314261432777,1.64054979439984,0.4950314261432777
cat__Trauma center_27,-0.48406947159623653,0.6162703871375937,0.48406947159623653
cat__Trauma center_22,0.45915885081162766,1.582742102682074,0.45915885081162766
num__SAPS II,0.45286676074928195,1.572814611912294,0.45286676074928195
binary__hemorragic shock,0.448536935489693,1.566019321303606,0.448536935489693
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Orthopedics (upper and/or lower limb),0.40976628896735345,1.5064656663209106,0.40976628896735345
"cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Neurosurgery ( e.g., craniotomy, excluding ICP monitoInterventional radiologyng and excluding EVD)",0.40956442909048346,1.5061616020372202,0.40956442909048346
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Thoracic surgery,-0.400469638405545,0.6700053119094157,0.400469638405545
cat__Trauma center_3,0.3503589210532151,1.4195769732285262,0.3503589210532151
cat__Trauma center_26,-0.3404179151521226,0.7114729253076758,0.3404179151521226
num__ISS score,0.34037117897104274,1.4054691743591081,0.34037117897104274
cat__Trauma center_21,0.31710833531452265,1.3731513246483698,0.31710833531452265
cat__Trauma center_9,-0.2858530677364014,0.7513730087735394,0.2858530677364014
cat__Trauma center_11,0.28380028364550847,1.328167647462266,0.28380028364550847
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Urology,0.2701823101784608,1.3102032923570057,0.2701823101784608
cat__Trauma center_16,0.2694547452605083,1.3092503811005365,0.2694547452605083
cat__Trauma center_7,0.2578806484732717,1.2941843465285547,0.2578806484732717
cat__Trauma center_17,-0.25059602413383353,0.7783367373142186,0.25059602413383353
cat__Trauma center_6,0.24469664352665657,1.2772337972897467,0.24469664352665657
cat__Trauma center_32,-0.24239950099260119,0.7847426094692005,0.24239950099260119
cat__Trauma center_2,0.2154387392788334,1.2404059924298876,0.2154387392788334
cat__Trauma center_8,-0.20659274202415068,0.8133508261570415,0.20659274202415068
cat__Trauma center_4,0.19957226680789883,1.2208804353749405,0.19957226680789883
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Visceral surgery,-0.18914729584220952,0.8276645861634745,0.18914729584220952
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Maxillofacial surgery,-0.16794415745017244,0.8454010427163902,0.16794415745017244
cat__Trauma center_29,0.1552611050039306,1.1679628822481347,0.1552611050039306
cat__Trauma center_30,-0.15299887721604874,0.8581306853062145,0.15299887721604874
cat__Trauma center_18,-0.12274749897622102,0.8844869682321769,0.12274749897622102
num__CGS score,-0.0796648334393136,0.9234257959732476,0.0796648334393136
num__AIS head neck,0.07332713921952827,1.076082508131628,0.07332713921952827
cat__Trauma center_31,0.07198811861339578,1.0746425757440574,0.07198811861339578
cat__Trauma center_14,-0.07164419432662693,0.9308620428916957,0.07164419432662693
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Other operating room procedure,-0.06766909582368322,0.934569675424958,0.06766909582368322
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Vascular surgery,-0.04526659683512433,0.9557426499002591,0.04526659683512433
cat__Trauma center_1,0.04187151072014675,1.0427604865986875,0.04187151072014675
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Cardiac surgery,0.041758079004137943,1.0426422111955242,0.041758079004137943
cat__Trauma center_5,-0.04128687308211154,0.9595538202983422,0.04128687308211154
cat__Trauma center_15,0.026027083412015678,1.026368745664638,0.026027083412015678
num__AIS chest,0.022004781722569144,1.0222486725683004,0.022004781722569144
cat__Trauma center_20,-0.021912740276883086,0.9783255997476582,0.021912740276883086
cat__Surgical and/or hemostatic radiological procedures within first 24 hours_Interventional radiology,-0.008729955912406103,0.9913080395062108,0.008729955912406103
